humid,temp,press,gas,tvoc,altitude,eCO2,H2,quality
59.68,28.07,1011.08,72.05101,18.09,18.09,18.09,18.09,good
59.7,28.07,1011.08,72.913,18.12,18.12,18.12,18.12,good
59.73,28.07,1011.07,72.05101,18.16,18.16,18.16,18.16,good
59.73,28.07,1011.06,71.991,18.23,18.23,18.23,18.23,good
59.76,28.07,1011.05,71.86901,18.31,18.31,18.31,18.31,good
59.76,28.07,1011.05,71.93,18.34,18.34,18.34,18.34,good
59.76,28.07,1011.04,72.603,18.39,18.39,18.39,18.39,good
59.74,28.08,1011.04,71.809,18.41,18.41,18.41,18.41,good
59.79,28.08,1011.04,71.688,18.46,18.46,18.46,18.46,good
59.84,28.08,1011.03,71.568,18.47,18.47,18.47,18.47,good
59.82,28.09,1011.02,71.568,18.56,18.56,18.56,18.56,good
59.75,28.09,1011.02,71.21,18.56,18.56,18.56,18.56,good
59.69,28.1,1011.02,71.329,18.59,18.59,18.59,18.59,good
59.65,28.1,1011.01,71.269,18.64,18.64,18.64,18.64,good
59.6,28.11,1011.02,71.269,18.59,18.59,18.59,18.59,good
59.57,28.11,1011.03,70.855,18.5,18.5,18.5,18.5,good
59.59,28.12,1011.03,71.21,18.53,18.53,18.53,18.53,good
59.57,28.12,1011.03,70.503,18.52,18.52,18.52,18.52,good
59.53,28.13,1011.03,70.973,18.51,18.51,18.51,18.51,good
59.45,28.13,1011.02,71.21,18.58,18.58,18.58,18.58,good
59.46,28.14,1011.03,70.445,18.53,18.53,18.53,18.53,good
59.42,28.14,1011.03,70.855,18.54,18.54,18.54,18.54,good
59.37,28.14,1011.03,70.445,18.54,18.54,18.54,18.54,good
59.34,28.14,1011.03,71.032,18.51,18.51,18.51,18.51,good
59.37,28.14,1011.03,70.156,18.51,18.51,18.51,18.51,good
59.41,28.14,1011.02,70.27101,18.55,18.55,18.55,18.55,good
59.39,28.14,1011.02,70.796,18.57,18.57,18.57,18.57,good
59.47,28.14,1011.01,70.387,18.67,18.67,18.67,18.67,good
59.42,28.14,1011.02,69.64,18.59,18.59,18.59,18.59,good
59.37,28.15,1011.01,70.27101,18.64,18.64,18.64,18.64,good
59.37,28.15,1011.01,70.156,18.64,18.64,18.64,18.64,good
59.35,28.15,1011.01,69.301,18.63,18.63,18.63,18.63,good
59.39,28.15,1011.01,69.754,18.65,18.65,18.65,18.65,good
59.38,28.15,1011.01,69.754,18.67,18.67,18.67,18.67,good
59.37,28.15,1011,69.47,18.75,18.75,18.75,18.75,good
59.31,28.15,1011,69.414,18.73,18.73,18.73,18.73,good
59.25,28.15,1011,68.909,18.77,18.77,18.77,18.77,good
59.32,28.15,1011,68.63201,18.75,18.75,18.75,18.75,good
59.37,28.16,1011.01,69.13301,18.69,18.69,18.69,18.69,good
59.37,28.16,1011,68.965,18.79,18.79,18.79,18.79,good
59.35,28.16,1011,68.743,18.79,18.79,18.79,18.79,good
59.29,28.16,1011,68.52201,18.76,18.76,18.76,18.76,good
59.3,28.16,1011,68.467,18.72,18.72,18.72,18.72,good
59.27,28.16,1011,68.577,18.71,18.71,18.71,18.71,good
59.16,28.16,1011.01,68.03,18.67,18.67,18.67,18.67,good
59.15,28.16,1011.01,68.63201,18.64,18.64,18.64,18.64,good
59.25,28.16,1011,68.35701,18.73,18.73,18.73,18.73,good
59.3,28.16,1011,68.303,18.75,18.75,18.75,18.75,good
59.22,28.15,1011,68.35701,18.72,18.72,18.72,18.72,good
59.25,28.15,1010.99,68.03,18.8,18.8,18.8,18.8,good
59.27,28.15,1010.99,68.03,18.83,18.83,18.83,18.83,good
59.36,28.15,1010.99,67.226,18.84,18.84,18.84,18.84,good
59.42,28.15,1010.99,67.226,18.85,18.85,18.85,18.85,good
59.37,28.15,1010.99,67.226,18.86,18.86,18.86,18.86,good
59.31,28.15,1010.99,67.546,18.84,18.84,18.84,18.84,good
59.3,28.15,1010.98,67.492,18.89,18.89,18.89,18.89,good
59.26,28.16,1010.99,67.492,18.87,18.87,18.87,18.87,good
59.34,28.16,1010.98,67.332,18.89,18.89,18.89,18.89,good
59.25,28.16,1010.99,67.015,18.87,18.87,18.87,18.87,good
59.26,28.16,1010.99,66.701,18.84,18.84,18.84,18.84,good
59.26,28.17,1010.99,66.753,18.87,18.87,18.87,18.87,good
59.32,28.17,1010.98,66.597,18.89,18.89,18.89,18.89,good
59.3,28.17,1010.98,66.184,18.89,18.89,18.89,18.89,good
59.27,28.18,1010.98,66.441,18.95,18.95,18.95,18.95,good
59.27,28.18,1010.98,66.701,18.94,18.94,18.94,18.94,good
59.41,28.19,1010.99,66.081,18.87,18.87,18.87,18.87,good
59.32,28.19,1010.98,66.03,18.9,18.9,18.9,18.9,good
59.24,28.2,1010.99,65.979,18.86,18.86,18.86,18.86,good
59.25,28.2,1010.98,66.081,18.88,18.88,18.88,18.88,good
59.13,28.21,1010.99,65.877,18.82,18.82,18.82,18.82,good
59.2,28.21,1010.99,65.624,18.86,18.86,18.86,18.86,good
59.27,28.22,1010.99,65.272,18.84,18.84,18.84,18.84,good
59.14,28.23,1010.99,65.573,18.83,18.83,18.83,18.83,good
59.07,28.23,1010.99,65.372,18.84,18.84,18.84,18.84,good
59.2,28.24,1010.99,65.473,18.81,18.81,18.81,18.81,good
59.15,28.24,1010.99,65.024,18.85,18.85,18.85,18.85,good
59.13,28.25,1011,65.024,18.78,18.78,18.78,18.78,good
59.1,28.25,1011,64.925,18.75,18.75,18.75,18.75,good
59.21,28.26,1011,64.289,18.73,18.73,18.73,18.73,good
59.48,28.27,1011,64.24,18.77,18.77,18.77,18.77,good
59.25,28.28,1011,64.532,18.74,18.74,18.74,18.74,good
59.03,28.28,1011,64.679,18.77,18.77,18.77,18.77,good
58.86,28.29,1011,64.728,18.78,18.78,18.78,18.78,good
58.81,28.29,1011,64.581,18.73,18.73,18.73,18.73,good
58.76,28.29,1011.01,64.826,18.7,18.7,18.7,18.7,good
58.73,28.29,1011,64.434,18.73,18.73,18.73,18.73,good
58.69,28.29,1011,64.532,18.78,18.78,18.78,18.78,good
58.74,28.29,1010.99,63.808,18.81,18.81,18.81,18.81,good
58.76,28.29,1010.99,64.63,18.84,18.84,18.84,18.84,good
58.82,28.29,1010.98,64.144,18.9,18.9,18.9,18.9,good
58.87,28.28,1010.98,64.289,18.92,18.92,18.92,18.92,good
58.89,28.28,1010.98,64.048,18.94,18.94,18.94,18.94,good
58.85,28.28,1010.97,64.192,19.04,19.04,19.04,19.04,good
59.43,28.28,1010.97,63.288,19.04,19.04,19.04,19.04,good
59.5,28.28,1010.96,63.241,19.1,19.1,19.1,19.1,good
59.29,28.28,1010.96,63.241,19.12,19.12,19.12,19.12,good
59.15,28.28,1010.96,63.288,19.08,19.08,19.08,19.08,good
59.23,28.28,1010.96,63.1,19.08,19.08,19.08,19.08,good
59.31,28.27,1010.97,63.194,19.03,19.03,19.03,19.03,good
59.36,28.27,1010.96,62.914,19.07,19.07,19.07,19.07,good
59.48,28.27,1010.96,62.822,19.06,19.06,19.06,19.06,good
59.61,28.27,1010.96,63.147,19.09,19.09,19.09,19.09,good
59.61,28.26,1010.96,62.5,19.11,19.11,19.11,19.11,good
59.52,28.26,1010.95,62.591,19.16,19.16,19.16,19.16,good
59.46,28.26,1010.95,62.317,19.16,19.16,19.16,19.16,good
59.32,28.26,1010.95,62.408,19.16,19.16,19.16,19.16,good
59.27,28.25,1010.95,62.591,19.19,19.19,19.19,19.19,good
59.41,28.25,1010.94,62.317,19.23,19.23,19.23,19.23,good
59.48,28.25,1010.94,62.181,19.25,19.25,19.25,19.25,good
59.41,28.24,1010.94,62.362,19.26,19.26,19.26,19.26,good
59.3,28.24,1010.93,61.82,19.31,19.31,19.31,19.31,good
59.16,28.24,1010.93,62.226,19.32,19.32,19.32,19.32,good
59.27,28.23,1010.93,62.454,19.32,19.32,19.32,19.32,good
59.34,28.23,1010.93,61.776,19.34,19.34,19.34,19.34,good
59.18,28.22,1010.93,62.045,19.36,19.36,19.36,19.36,good
59.12,28.22,1010.93,62.045,19.35,19.35,19.35,19.35,good
59.11,28.22,1010.93,62.271,19.35,19.35,19.35,19.35,good
59.07,28.21,1010.94,62.271,19.26,19.26,19.26,19.26,good
59.05,28.21,1010.94,61.955,19.27,19.27,19.27,19.27,good
59.03,28.21,1010.94,62,19.23,19.23,19.23,19.23,good
59.05,28.21,1010.94,62.045,19.29,19.29,19.29,19.29,good
59.03,28.21,1010.93,61.82,19.3,19.3,19.3,19.3,good
59.04,28.21,1010.94,61.865,19.29,19.29,19.29,19.29,good
